id,time,Scene,Action,Event,Description
471134630,UTC-2023-07-12 04:24:24.069,Play,Button Press,Pause,
2045164926,UTC-2023-07-12 04:24:25.635,Play,Button Press,Measure Mode,
3672380324,UTC-2023-07-12 04:24:27.589,Measure,Object Selected ,Sun,
3586148012,UTC-2023-07-12 04:24:37.612,Measure,Object Selected ,A1,
560135616,UTC-2023-07-12 04:24:41.354,Measure,Distance Recorded,3AU,3,
246028004,UTC-2023-07-12 04:24:44.008,Measure,Return,Return to Play Mode,
3238171804,UTC-2023-07-12 04:24:48.529,Play,Button Press,Open Observe Mode,
1256221018,UTC-2023-07-12 04:24:50.230,Observe,Toggle-On,Orbit,
3672284674,UTC-2023-07-12 04:24:58.695,Observe,Toggle-On,Fous,
1612295682,UTC-2023-07-12 04:25:00.035,Observe,Toggle-Off,Focus,
1997102422,UTC-2023-07-12 04:25:03.712,Observe,Button Press,Measure Mode,
3672320952,UTC-2023-07-12 04:25:06.998,Measure,Data Selected ,Show Entry:Sun to A1, distance:3.000 at radian0.06388889,
